Number ,Time of the day,Speed,Weather ,Date,Plate State ,Color ,Type of Car,Collector Name
1,4:38: PM,31,Sunny ,4/7/2025,IL,Grey,Sedan ,Diya
2,4:38: PM,32,Sunny ,4/7/2025,IA,Black ,SUV,Diya
3,4:38: PM,30,Sunny ,4/7/2025,NY,Black ,SUV,Diya
4,4:38: PM,30,Sunny ,4/7/2025,IL,White ,SUV ,Diya
5,4:41: PM,31,Sunny ,4/7/2025,IL,White ,Van ,Diya
6,4:44: PM,20,Sunny ,4/7/2025,IL,Grey,Sedan ,Diya
7,4:45: PM,31,Sunny ,4/7/2025,IL,White ,Truck ,Diya
8,4:46: PM,29,Sunny ,4/7/2025,IA,White ,Sedan ,Diya
9,4:46: PM,27,Sunny ,4/7/2025,IA,Red,Truck ,Diya
10,4:46: PM,34,Sunny ,4/7/2025,IA,Blue,Sedan ,Diya
11,4:47: PM,33,Sunny ,4/7/2025,IL,Grey,Sedan ,Diya
12,4:47: PM,21,Sunny ,4/7/2025,IL,Grey ,SUV,Diya
13,4:48: PM,30,Sunny ,4/7/2025,IL,Grey ,Sedan ,Diya
14,4:49: PM,36,Sunny ,4/7/2025,IL,Red ,Truck ,Diya
15,4:50: PM,33,Sunny ,4/7/2025,IA,Black ,Truck ,Diya
16,4:51: PM,21,Sunny ,4/7/2025,IA ,Red ,Sedan ,Diya
17,4:51: PM,26,Sunny ,4/7/2025,IL,Grey ,Sedan ,Diya
18,4:51: PM,10,Sunny ,4/7/2025,IL,White ,SUV ,Diya
19,4:52: PM,30,Sunny ,4/7/2025,IL,White ,Truck ,Diya
20,4:52: PM,31,Sunny ,4/7/2025,IL,White ,Truck ,Diya
21,4:53: PM,31,Sunny ,4/7/2025,IL,Red,Truck ,Diya
22,4:53: PM,35,Sunny ,4/7/2025,IA,Black ,Truck ,Diya
23,4:54: PM,21,Sunny ,4/7/2025,IA,Red,Truck ,Diya
24,4:54: PM,31,Sunny ,4/7/2025,IL,White ,SUV,Diya
25,4:54: PM,26,Sunny ,4/7/2025,IL,Black ,SUV,Diya
26,4:54: PM,18,Sunny ,4/7/2025,TX,Black ,SUV,Diya
27,4:55: PM,16,Sunny ,4/7/2025,IL,Grey,SUV,Diya
28,4:55: PM,13,Sunny ,4/7/2025,IL,Grey ,SUV,Diya
29,4:55: PM,30,Sunny ,4/7/2025,IL,White ,Sedan ,Diya
30,4:55: PM,29,Sunny ,4/7/2025,IL,Black ,Truck ,Diya
31,4:56: PM,29,Sunny ,4/7/2025,IL,White ,SUV,Diya
32,4:57: PM,29,Sunny ,4/7/2025,IL,Blue ,SUV,Diya
33,4:57: PM,37,Sunny ,4/7/2025,IL,Grey ,SUV,Diya
34,4:57: PM,26,Sunny ,4/7/2025,WI,Grey ,Sedan ,Diya
35,4:58: PM,25,Sunny ,4/7/2025,IL,Red ,SUV ,Diya
